title,amazon_rating,isbn10,amazon_price_usd,first_name,last_name,amazon_ratings_count
Tell Me your Dreams,4.4,8172234902,3.135,Sidney,Sheldon    ,160
The Boy in the Striped Pyjamas (Definitions),4.6,1862305277,5.25,John,Boyne    ,134
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",4.5,9350294311,7.154999999999999,Anil,Lamba    ,156
Mossad,4.6,8184958455,5.1,Michael,Bar-Zohar    ,637
My Story,4.5,8172238975,2.67,Kamala,Das    ,42
Inspiring Thoughts (Inspiring Thoughts Quotation Series),4.1,8170286840,1.7999999999999998,A.P.J.,Abdul Kalam   ,148
12 Years a Slave,4.5,8175994479,1.4849999999999999,Solomon,Northup    ,41
Headley And I,3.5,9350295725,3.705,S.,Hussain Zaidi   ,14
Making India Awesome: New Essays and Columns,3.8,8129137429,1.5,Chetan,Bhagat    ,1188
The Dirty Dozen: Hitmen of the Mumbai Underworld,4.2,9386850133,3.315,Gabriel,Khan    ,54
Commando,3.7,9386867168,4.995,Michael,Bar-Zohar    ,15
"Behold, I Shine: Narratives of Kashmir's Women and Children",4.3,8129145715,1.5899999999999999,Freny,Manecksha    ,15
Corporate Guru Narayan Murthy,4.1,8173157685,2.25,N,Chokkan    ,4
Byculla to Bangkok,4.1,9351362256,2.88,S.,Hussain Zaidi   ,96
"Who Cheats and How?: Scams, Frauds and the Dark Side of the Corporate World:...",3.5,9351500616,5.3999999999999995,Robin,Banerjee    ,17
Little Black Book for Stunning Success + Tools for Action Mastery,4.4,8184959893,3.3,Robin,Sharma    ,67
The Book Thief (Definitions Young Adult),4.5,1909531618,5.685,Markus,Zusak    ,87
This Is Not Your Story,4.5,9386224399,1.5,Savi,Sharma    ,2177
This Is Not Your Story,4.5,9386224399,1.5,Savi,Sharma    ,2177
IQ Tests Book-1 - Boost Your Intelligence,3.8,9350945746,1.29,Arihant,Experts    ,19
The Perks of Being a Wallflower,4.4,1451696191,2.79,Stephen,Chbosky    ,306
Great Stories for Children,4.4,8129118920,2.73,Ruskin,Bond    ,217
"Coloring Mandalas 2: For Balance, Harmony, and Spiritual Well-Being (An Adult...",3.9,1590300866,9.15,Susanne,F. Fincher   ,2
Sita: Warrior of Mithila (Ram Chandra),4.3,9386224585,3.3899999999999997,Amish,Tripathi    ,1817
How to Be an Adult in Relationships: The Five Keys to Mindful Loving,5.0,1570628122,10.334999999999999,David,Richo    ,1
Eleven Minutes,4.2,8172235631,2.505,Paulo,Coelho    ,234
The Power of Your Subconscious Mind: Unlock Your Master Key to Success,4.5,8172345666,1.125,Joseph,Murphy    ,5009
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,4.1,9385152149,3.5999999999999996,Amish,Tripathi    ,4651
Sita: Warrior of Mithila (Ram Chandra),4.3,9386224585,3.3899999999999997,Amish,Tripathi    ,1817
The Rise of Sivagami: Book 1 of Baahubali - Before the Beginning,4.1,9386224445,2.4299999999999997,Anand,Neelakantan    ,793
Murder in a Minute,4.4,9386643723,2.82,Shouvik,Bhattacharya    ,277
Alice’s Adventures in Wonderland,4.0,8175992980,1.335,Lewis,Carroll    ,119
Harappa - Curse of the Blood River,4.1,9352685482,2.775,Vineet,Bajpai    ,680
Harry Potter and the Philosopher's Stone,4.7,1408855658,4.484999999999999,J.K.,Rowling    ,1097
Geronimo Stilton and the Kingdom of Fantasy #8 - The Hour of Magic,4.6,9385887815,4.109999999999999,Geronimo,Stilton    ,329
Great Stories for Children,4.4,8129118920,2.73,Ruskin,Bond    ,217
The Dragon of Fortune (Geronimo Stilton and the Kingdom of Fantasy: Special Edition...,4.6,9352751183,7.6499999999999995,Geronimo,Stilton    ,285
Suppandi - 3: The Laughter Never Ends,4.7,9350853736,1.14,Rajani,Thindiath    ,59
Circe: The Sunday Times Bestseller,4.3,1526603330,5.46,Madeline,Miller    ,47
Bloodline,4.3,8172234864,4.2,Sidney,Sheldon    ,67
Geronimo Stilton #58: The Super Chef Contest,4.2,9351033287,2.79,Geronimo,Stilton    ,66
The Jungle Book (First Stories),4.4,1509808361,3.36,Miriam,Bos    ,71
Swami and Friends,4.6,8185986002,1.71,R.,K. Narayan   ,204
The Secret Of The Nagas (Shiva Trilogy-2),4.6,9381626340,3.6599999999999997,Amish,Tripathi    ,1681
The Oath of the Vayuputras (Shiva Trilogy),4.4,9382618341,4.2299999999999995,Amish,Tripathi    ,1608
Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic...,4.8,1408711702,6.51,J.K.,Rowling    ,52
Harry Potter and the Chamber of Secrets (Harry Potter 2),4.7,1408855666,5.609999999999999,J.K.,Rowling    ,562
Keepers of the Kalachakra: Book 5 in the Bharat Series of Historical and Mythological...,4.0,9386850648,1.5,Ashwin,Sanghi    ,472
Harry Potter and the Prisoner of Azkaban (Harry Potter 3),4.4,1408855674,5.609999999999999,J.K.,Rowling    ,474
Geronimo Stilton - The Hunt for the Golden Book,4.4,9351032167,4.785,Geronimo,Stilton  Large Print ,179
Norse Mythology,4.4,1526602067,4.484999999999999,Neil,Gaiman    ,108
The Secret of the Druids (Mahabharata Quest Series Book 2),4.1,9385724223,2.685,Christopher,C. Doyle   ,273
Indian Art and Culture,4.5,9387067548,6.18,Nitin,Singhania    ,391
Bharatiya Kala Evam Sanskriti,4.6,9387067718,5.55,Nitin,Singhania    ,128
The Art of War,4.3,8184950888,2.625,Sun,Tzu    ,76
ICSE Art of Effective English Writing for Classes IX - X,4.6,9352534751,4.74,O,P Singh   ,20
Trump: The Art of the Deal,4.0,1784758248,4.8,Donald,Trump    ,51
All you need is Love: The art of mindful parenting,4.3,9351770729,3.375,Shelja,Sen    ,36
The Bachelor of Arts,4.4,8185986010,1.3499999999999999,R.,K. Narayan   ,31
"Ready, Study, Go!: Smart Ways to Learn",4.5,9352641345,2.67,Khurshed,Batliwala    ,444
The Art of Living,4.5,1846045096,6.51,Thich,Nhat Hanh   ,2
Gurudev: On the Plateau of the Peak: The Life of Sri Sri Ravi Shankar,4.9,9386850575,4.395,Bhanumathi,Narasimhan    ,330
Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic...,4.8,1408711702,6.51,J.K.,Rowling    ,52
The Art Of Study,4.3,8190702564,2.625,Vijay,Agarwal    ,17
"World Atlas: Government Approved Maps of India and the World, for Exams and Competitions...",3.5,9357941495,1.41,VS,Editorial Board   ,2
Disha Children's Yearbook 2018 - General Knowledge Fundamentals and Current Affairs,4.7,9387421007,3.045,Disha,Experts    ,7
The Perks of Being a Wallflower,4.4,1451696191,2.79,Stephen,Chbosky    ,306
"The Husband's Secret: From the bestselling author of Big Little Lies, now an...",3.6,1405911662,3.315,Liane,Moriarty    ,31
