last_name,first_name,isbn10,title,flipkart_price_usd,flipkart_rating,flipkart_ratings_count
Sheldon,Sidney,8172234902, Tell Me Your Dreams,3,4.5,902
,,1862305277, The Boy In The Striped Pyjamas,5,4.5,83
Lamba,Anil,9350294311, Romancing The Balance Sheet,7,4.5,352
Michael,Bar-Zohar,8184958455, Mossad,4,4.5,560
Das,Kamala,8172238975, My Story,2,4.3,322
Kalam,Abdul,8170286840, Inspiring Thoughts,2,4.2,357
Solomon,Northup,8175994479, 12 Years A Slave : - A True Story,2,4.4,56
S.,Zaidi,9350295725, Headley And I,4,4.2,46
Chetan,Bhagat,8129137429, Making India Awesome,1,4.1,1779
Gabriel,Khan,9386850133, The Dirty Dozen - Hitmen Of Mumbai Mafia,3,4.5,32
,unknown,9386867168, Commando - Mossad,4,4.4,30
Freny,Manecksha,8129145715, Behold- I Shine,1,4.5,49
N,Chokkan,8173157685, Corporate Guru Narayan Murthy,2,4.1,10
and,Zaidi',9351362256, Byculla To Bangkok,2,4.4,458
Banerjee,Robin,9351500616, Who Cheats And How?: Scams- Fraud And The Dark Side Of The Corporate World - Scams- Fraud And The Dark Side Of The Corporate World,5,4.6,11
Robin,Sharma,8184959893, Little Black Book For Stunning Success + Tools For Action Mastery,3,4.4,104
Markus,Zusak,1909531618, The Book Thief,4,4.5,558
Publications,Dreamland,9350899175, Refreshing Mandala - Book 3,3,4.6,28
,unknown,9350899477, Rejuvenate Yourself- Floral Patterns,2,4.4,22
Savi,Sharma,9386224399, This Is Not Your Story,1,4.3,5133
Savi,Sharma,9386224399, This Is Not Your Story,1,4.3,5133
,unknown,9350945746, Iq Tests Book-1 - Boost Your Intelligence,1,4.2,67
Stephen,Chbosky,1451696191, The Perks Of Being A Wallflower,2,4.5,1897
Ruskin,Bond,8129118920, Great Stories For Children,1,4.4,2909
Publications,Dreamland,9350897954, Creative Doodle Colouring - Animals & Birds,2,4.6,35
F,Susanne,1590300866, Coloring Mandalas 2,12, , 
Amish,Tripathi,9386224585, Sita,3,4.6,7022
David,Richo,1570628122, How To Be An Adult In Relationships,11, , 
Coelho,Paulo,8172235631, Eleven Minutes,3,4.4,2201
,DK,1409323498, The Animal Book,8,4.6,5
Murphy,Dr.,8172345666, The Power Of Your Subconscious Mind - Unlock Your Master Key To Success,2,4.5,631
,Amish,9385152149, Ram - Scion Of Ikshvaku,3,4.4,6160
Amish,Tripathi,9386224585, Sita,3,4.6,7022
Anand,Neelakantan,9386224445, The Rise Of Sivagami,2,4.4,2442
Bhattacharya,Shouvik,9386643723, Murder In A Minute,2,4.4,338
Lewis,Carroll,8175992980, Alice'S Adventures In Wonderland Online Written,1,4.8,16
Bajpai,Vineet,9352685482, Harappa - Curse Of The Blood River,1,4.4,614
K.,J.,1408855658, Harry Potter And The Philosopher'S Stone,3,4.6,5577
Geronimo,Stilton,9385887815, Geronimo Stilton And The Kingdom Of Fantasy #8,5,4.5,626
Ruskin,Bond,8129118920, Great Stories For Children,1,4.4,2909
Stilton,Geronimo,9352751183, The Dragon Of Fortune - An Epic Kingdom Of Fantasy Adventures,7,4.6,1132
,Herge,1405206209, Tintin : The Crab With Golden Claws,4,4.8,186
Rajani,Thindiath,9350853736, Suppandi 3,1,4.4,175
,Herge,1405206195, King Ottokar'S Sceptre - King Ottokar'S Sceptre,5,4.7,128
Miller,Madeline,1526603330, Circe,5,4.5,148
Sheldon,Sidney,8172234864, Bloodline,4,4.5,362
Geronimo,Stilton,9351033287, The Super Chef Contest,2,4.5,307
Miriam,Bos,1509808361, The Jungle Book,2,4.8,5
,,1409312135, Peppa Pig: Amazing Adventures Sticker Book,2,4.5,11
R.,Narayan,8185986002, Swami And Friends,1,4.4,1423
